Cross-validation will be performed.  Folds=10.
Random seed: 18526
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
****                   ADMIXTURE Version 1.23                   ****
****                    Copyright 2008-2013                     ****
****          David Alexander, John  Novembre, Ken Lange        ****
****                   Please cite our paper!                   ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Size of G: 38x113855
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.356	Loglikelihood: -4.86503e+06	(delta): 1.3296e+06
2 (EM) 	Elapsed: 0.351	Loglikelihood: -4.73497e+06	(delta): 130053
3 (EM) 	Elapsed: 0.355	Loglikelihood: -4.66267e+06	(delta): 72300.8
4 (EM) 	Elapsed: 0.351	Loglikelihood: -4.59317e+06	(delta): 69501.7
5 (EM) 	Elapsed: 0.35	Loglikelihood: -4.51708e+06	(delta): 76091.8
Initial loglikelihood: -4.51708e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 1.263	Loglikelihood: -4.02383e+06	(delta): 493248
2 (QN/Block) 	Elapsed: 1.239	Loglikelihood: -3.97476e+06	(delta): 49068.9
3 (QN/Block) 	Elapsed: 1.449	Loglikelihood: -3.9394e+06	(delta): 35364.1
4 (QN/Block) 	Elapsed: 1.397	Loglikelihood: -3.9104e+06	(delta): 28996.2
5 (QN/Block) 	Elapsed: 1.433	Loglikelihood: -3.89509e+06	(delta): 15309.9
6 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.88991e+06	(delta): 5180.66
7 (QN/Block) 	Elapsed: 1.381	Loglikelihood: -3.88654e+06	(delta): 3371.66
8 (QN/Block) 	Elapsed: 1.396	Loglikelihood: -3.88273e+06	(delta): 3812.64
9 (QN/Block) 	Elapsed: 1.374	Loglikelihood: -3.88039e+06	(delta): 2334.79
10 (QN/Block) 	Elapsed: 1.367	Loglikelihood: -3.87902e+06	(delta): 1372.71
11 (QN/Block) 	Elapsed: 1.381	Loglikelihood: -3.87824e+06	(delta): 778.462
12 (QN/Block) 	Elapsed: 1.374	Loglikelihood: -3.87777e+06	(delta): 468.336
13 (QN/Block) 	Elapsed: 1.382	Loglikelihood: -3.87731e+06	(delta): 466.557
14 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87676e+06	(delta): 551.825
15 (QN/Block) 	Elapsed: 1.389	Loglikelihood: -3.8765e+06	(delta): 259.892
16 (QN/Block) 	Elapsed: 1.371	Loglikelihood: -3.87624e+06	(delta): 256.816
17 (QN/Block) 	Elapsed: 1.488	Loglikelihood: -3.87609e+06	(delta): 150.223
18 (QN/Block) 	Elapsed: 1.53	Loglikelihood: -3.87607e+06	(delta): 19.0994
19 (QN/Block) 	Elapsed: 1.481	Loglikelihood: -3.87606e+06	(delta): 10.6751
20 (QN/Block) 	Elapsed: 1.368	Loglikelihood: -3.87605e+06	(delta): 12.0774
21 (QN/Block) 	Elapsed: 1.531	Loglikelihood: -3.87604e+06	(delta): 5.49563
22 (QN/Block) 	Elapsed: 1.374	Loglikelihood: -3.87604e+06	(delta): 2.83894
23 (QN/Block) 	Elapsed: 1.362	Loglikelihood: -3.87603e+06	(delta): 5.95729
24 (QN/Block) 	Elapsed: 1.365	Loglikelihood: -3.87603e+06	(delta): 6.15005
